序号,单词,音标,基本释义,详细释义,英文释义,例句,例句释义
224,though,[e??],尽管,conj.虽然,despite the fact that,"Even though he failed the exam, he was happy.",虽然他考试没及格，但他还是很开心。
225,business,[?b?zn?s],商业,n.事务,"the activity of making, buying, selling or supplying goods or services for money",What she does to relax herself is her own business.,她做什么来放松是她自己的事。
226,issue,[???u:],问题,n.问题；发行物；  v.发行；宣布，公布,an important topic that people are discussing or arguing about,Food standards for fish are an important issue being talked about in the news.,鱼类食用标准成了最近新闻讨论的热点话题。
227,side,[sa?d],边,n.边；一边，一侧；  adj.旁边的，侧面的；  v.站在同一边,,There are many trees on both sides of the river.,小河两边的岸上都有许多树。
228,kind,[ka?nd],种类,adj. 善良的，仁慈的，亲切的，和蔼的；  n. 种类,"caring about others; gentle, friendly and generous",He's a kind young man who always helps others.,他是个善良的年轻人，总是帮助别人。
229,four,[f?:(r)],四个,四个,,,
230,head,[hed],头,n. 头；领导人；  v. 率领,"the part of the body containing the brain, eyes, ears, nose, and mouth",My head aches—maybe I think too much.,头好痛，也许是我用脑太多了。
231,far,[fɑ:(r)],远的,adv.（空间或时间）远，久远；  adj.远方的；  n.远方,a long distance away,"Though we're far apart, you're always in my heart!",虽然我们相隔遥远，但我会一直记得你的。
232,black,[bl?k],黑色的,adj.黑色的；  n.黑人；黑色,"having the very darkest colour, like coal or the sky at night",Her shiny black hair is beautiful.,她的闪亮黑发很美。
233,long,[l??],长的,vi.渴望，极想；  adj.长的；  adv.长久地，长期地,"measuring or covering a great length or distance, or a greater length or distance than usual",That girl longed to see her boyfriend again.,那个女孩渴望再见到她的男朋友。
234,both,[b??θ],两个都,pron.两者（都）；  conj.既…且…；  det.两者的；两个,used with plural nouns to mean ‘the two’ or ‘the one as well as the other’; not only… but also…,Both of them are outstanding.,他们两个人都很优秀。
235,little,[?l?tl],小的,det.几乎没有,not big; small; smaller than others,He paid little attention to what she was saying.,他几乎没有注意她在说什么。
236,house,[ha?s],房子,n.公司,a building in which a family lives,They work for a publishing house. ,他们在一家出版公司工作。
237,yes,[jes],是的,excl. 答话时表示正确或真实；  n. 是；肯定,"an answer that shows that you agree with an idea, a statement, etc.; a person who says ‘yes’","Yes, I promise to be a good boy.",好，我保证做一个好男孩！
238,since,[s?ns],自从,conj.由于,"from a time in the past until a later past time, or until now",The ground is quite wet since it rained yesterday. ,由于昨天下雨了，所以地面非常潮湿。
239,provide,[pr??va?d],提供,v. 提供，供给,to give something to somebody or make it available for them to use; (of a law or rule) to state that something will or must happen,This restaurant provides free juice.,这家餐厅提供免费果汁。
240,service,[?s?:v?s],服务,n.服务；公共服务事业（或系统）；维修保养,"a system that provides something that the public needs, organized by the government or a private company",The cleaning lady provides a range of cleaning services.,这位清洁女工提供一系列清洁服务。
241,around,[??ra?nd],大约,prep.在……周围；  adv.大约，四处,"surrounding somebody/something; on each side of something; on, to or from the other side of somebody/something",They sit around the teacher.,他们围坐在老师身边。
242,friend,[frend],朋友,n.朋友,"a person you know well and like, and who is not usually a member of your family",Gina is my best friend.,吉娜是我最好的朋友。
243,important,[?m?p?:tnt],重要的,adj.重要的，重大的,having a great effect on people or things; of great value,You have an important message!,你有一条重要消息！
244,father,[?fɑ:e?(r)],父亲,父亲,,,
245,sit,[s?t],坐,v. 坐,"to rest your weight on your bottom with your back vertical, for example on/in a chair",The little boy is sitting on the ground.,小男孩坐在地上。
246,away,[??we?],离开,adv. 离开，远离,to a different place or in a different direction,The blue balloon flies away.,蓝色气球飞走了。
247,until,[?n?t?l],直到,prep.到……为止；  conj.到……为止，直到……才,"used to indicate the time when something will happen, become true, etc.",He continued work until it got dark.,他一直工作到天黑。
248,power,[?pa??(r)],力量,n.力量；  v.提供动力,physical strength used in action; physical strength that somebody possesses and might use,He has great power and can lift the car with one hand.,他力大如牛，能一只手举起汽车。
249,hour,[?a??(r)],小时,n.小时；时间，时刻,one of the 24 equal parts of a day; 60 minutes,I get a break at one o'clock—only an hour to go!,一点的时候我可以休息一下，只有一个小时！
250,game,[ge?m],游戏,n.游戏，比赛；  adj.甘愿尝试的，有冒险精神的,an activity or a sport with rules in which people or teams compete against each other,We had a good time playing the board game together.,我们一起玩桌游玩得很开心。
251,often,[??fn],经常,经常,,,
252,yet,[jet],然而,adv.尚，还，仍然；  conj.但是,used in negative sentences and questions to talk about something that has not happened but that you expect to happen,"I studied hard, yet I still failed in the exam.",我学习很努力，但考试还是没及格。
253,line,[la?n],线,n.线,a long narrow mark on a surface; a row of people or things next to each other or behind each other,There is a yellow line in the middle of the road.,道路中间有条黄线。
254,political,[p??l?t?kl],政治的,adj.政治的,of or relating to politics or government,The young man is giving a political speech to the public.,这个年轻人在向公众发表一场政治演说。
255,end,[end],结尾,n. 结果，结局；末端，终点；  v. 结束,to finish; to make something finish,The end of the race was very close.,比赛结果很接近。
256,among,[??m??],之中,prep.在……中间，在……之中,surrounded by somebody/something; in the middle of somebody/something,There is an apple among the other fruits.,这个苹果在这些水果之中。
257,ever,[?ev?(r)],曾经,adv.自从,"used in negative sentences and questions, or sentences with if to mean ‘at any time’","Ever since I was born, you've been my best friend.",自从我出生以来，你就是我最好的朋友。
258,stand,[st?nd],站立,v. 忍受；起立；  n. 讲台,to be on your feet; to be in a vertical position,He often wondered how he could stand living below such a noisy person.,他常常在想他怎么能忍受住在这么吵闹的人的楼下。
259,bad,[b?d],坏的,adj.糟糕的,unpleasant; full of problems; of poor quality; below an acceptable standard,"After hearing the bad news, she cannot fall asleep.",听到这个坏消息后，她睡不着了。
260,lose,[lu:z],失去,v.（在竞争或比赛中）输掉；失去；遗失,"to have something/somebody taken away from you as a result of an accident, getting old, dying, etc.; to have less and less of something, especially until you no longer have any of it",The boxer lying on the ground lost to his more skilled opponent.,这个躺在地上的拳击手输给了比他更厉害的对手。
261,however,[ha??ev?(r)],然而,adv. 然而，不过；无论如何，不管多么,used with an adjective or adverb to mean ‘to whatever degree’,"He got a great test score; however, he's still upset.",他考了个好成绩，然而他还是不开心。
262,member,[?memb?(r)],成员,n.成员,"a person, a country or an organization that has joined a particular group, club or team",I've always wanted to be a member of the group.,我一直很想成为这个组织中的一员。
263,pay,[pe?],支付,v.支付，偿还,"to give somebody money for work, goods, services, etc.; to give somebody money that you owe them",He paid for his coffee and bread.,他付了咖啡和面包的钱。
264,law,[l?:],法律,n.法律,"the whole system or set of rules made by the government of a town, state, country, etc.",Nobody is above the law.,没有人能凌驾于法律之上。
265,meet,[mi:t],见面,v.满足,to come together formally in order to discuss something,This production chain ensures that the supply of milk meets the demands.,这条生产链保证了牛奶的供应满足需求。
